               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.029212,            0.027546,           0.0037324,             0.75524,             0.64361,             0.70299,             0.43437,            0.026449,            0.028422,           0.0071167,            0.006304,            0.006304,            0.006304
                 114,            0.028961,            0.029046,           0.0033638,             0.88924,             0.67785,             0.77946,             0.48806,            0.025916,            0.028311,           0.0054197,            0.006271,            0.006271,            0.006271
                 115,            0.028688,            0.027814,           0.0034775,             0.80693,             0.67421,             0.73372,             0.45433,            0.025899,            0.028477,            0.007077,            0.006238,            0.006238,            0.006238
                 116,             0.02982,            0.029485,           0.0030891,             0.80172,             0.64411,             0.73935,             0.46447,            0.026036,            0.028427,           0.0066537,            0.006205,            0.006205,            0.006205
                 117,            0.030042,            0.029059,           0.0029489,               0.777,             0.65469,             0.71915,             0.45043,            0.025515,            0.027765,           0.0072343,            0.006172,            0.006172,            0.006172
                 118,            0.029701,            0.028164,            0.003311,             0.73694,             0.68814,             0.71618,             0.45534,            0.025145,            0.027489,           0.0068759,            0.006139,            0.006139,            0.006139
                 119,            0.029131,            0.027635,           0.0033449,             0.85181,             0.67876,             0.76248,             0.48098,            0.025677,            0.028243,           0.0056096,            0.006106,            0.006106,            0.006106
                 120,            0.029078,            0.029052,           0.0034556,             0.84753,             0.61581,             0.71581,             0.45247,            0.025693,            0.028179,           0.0068968,            0.006073,            0.006073,            0.006073
                 121,              0.0287,            0.028513,           0.0028459,             0.81743,             0.65571,             0.73186,             0.45575,            0.025926,            0.028221,           0.0066196,             0.00604,             0.00604,             0.00604
                 122,            0.028407,            0.028273,           0.0033702,             0.85792,             0.67676,              0.7603,             0.47294,            0.025661,            0.028603,           0.0059271,            0.006007,            0.006007,            0.006007
                 123,            0.028036,            0.027225,            0.002731,             0.84526,             0.67052,             0.74237,             0.46809,            0.025291,            0.028283,           0.0064062,            0.005974,            0.005974,            0.005974
                 124,             0.03013,            0.029138,           0.0031946,              0.8944,             0.67662,             0.76508,             0.48418,            0.025528,            0.028502,           0.0060909,            0.005941,            0.005941,            0.005941
                 125,            0.027448,            0.026562,           0.0029323,             0.78725,             0.70219,             0.75066,             0.46815,            0.025335,            0.028729,           0.0066114,            0.005908,            0.005908,            0.005908
